Store,Date,Temperature
1,2/5/2010,42.31
1,2/12/2010,38.51
1,2/19/2010,39.93
1,2/26/2010,46.63
1,3/5/2010,46.5
1,3/12/2010,57.79
1,3/19/2010,54.58
1,3/26/2010,51.45
1,4/2/2010,62.27
1,4/9/2010,65.86
1,4/16/2010,66.32
1,4/23/2010,64.84
1,4/30/2010,67.41
1,5/7/2010,72.55
1,5/14/2010,74.78
1,5/21/2010,76.44
1,5/28/2010,80.44
1,6/4/2010,80.69
1,6/11/2010,80.43
1,6/18/2010,84.11
1,6/25/2010,84.34
1,7/2/2010,80.91
1,7/9/2010,80.48
1,7/16/2010,83.15
1,7/23/2010,83.36
1,7/30/2010,81.84
1,8/6/2010,87.16
1,8/13/2010,87
1,8/20/2010,86.65
1,8/27/2010,85.22
1,9/3/2010,81.21
1,9/10/2010,78.69
1,9/17/2010,82.11
1,9/24/2010,80.94
1,10/1/2010,71.89
1,10/8/2010,63.93
1,10/15/2010,67.18
1,10/22/2010,69.86
1,10/29/2010,69.64
1,11/5/2010,58.74
1,11/12/2010,59.61
1,11/19/2010,51.41
1,11/26/2010,64.52
1,12/3/2010,49.27
1,12/10/2010,46.33
1,12/17/2010,49.84
1,12/24/2010,52.33
1,12/31/2010,48.43
1,1/7/2011,48.27
1,1/14/2011,35.4
1,1/21/2011,44.04
1,1/28/2011,43.83
1,2/4/2011,42.27
1,2/11/2011,36.39
1,2/18/2011,57.36
1,2/25/2011,62.9
1,3/4/2011,59.58
1,3/11/2011,53.56
1,3/18/2011,62.76
1,3/25/2011,69.97
1,4/1/2011,59.17
1,4/8/2011,67.84
1,4/15/2011,71.27
1,4/22/2011,72.99
1,4/29/2011,72.03
1,5/6/2011,64.61
1,5/13/2011,75.64
1,5/20/2011,67.63
1,5/27/2011,77.72
1,6/3/2011,83
1,6/10/2011,83.13
1,6/17/2011,86.41
1,6/24/2011,83.58
1,7/1/2011,85.55
1,7/8/2011,85.83
1,7/15/2011,88.54
1,7/22/2011,85.77
1,7/29/2011,86.83
1,8/5/2011,91.65
1,8/12/2011,90.76
1,8/19/2011,89.94
1,8/26/2011,87.96
1,9/2/2011,87.83
1,9/9/2011,76
1,9/16/2011,79.94
1,9/23/2011,75.8
1,9/30/2011,79.69
1,10/7/2011,69.31
1,10/14/2011,71.74
1,10/21/2011,63.71
1,10/28/2011,66.57
1,11/4/2011,54.98
1,11/11/2011,59.11
1,11/18/2011,62.25
1,11/25/2011,60.14
1,12/2/2011,48.91
1,12/9/2011,43.93
1,12/16/2011,51.63
1,12/23/2011,47.96
1,12/30/2011,44.55
1,1/6/2012,49.01
1,1/13/2012,48.53
1,1/20/2012,54.11
1,1/27/2012,54.26
1,2/3/2012,56.55
1,2/10/2012,48.02
1,2/17/2012,45.32
1,2/24/2012,57.25
1,3/2/2012,60.96
1,3/9/2012,58.76
1,3/16/2012,64.74
1,3/23/2012,65.93
1,3/30/2012,67.61
1,4/6/2012,70.43
1,4/13/2012,69.07
1,4/20/2012,66.76
1,4/27/2012,67.23
1,5/4/2012,75.55
1,5/11/2012,73.77
1,5/18/2012,70.33
1,5/25/2012,77.22
1,6/1/2012,77.95
1,6/8/2012,78.3
1,6/15/2012,79.35
1,6/22/2012,78.39
1,6/29/2012,84.88
1,7/6/2012,81.57
1,7/13/2012,77.12
1,7/20/2012,80.42
1,7/27/2012,82.66
1,8/3/2012,86.11
1,8/10/2012,85.05
1,8/17/2012,84.85
1,8/24/2012,77.66
1,8/31/2012,80.49
1,9/7/2012,83.96
1,9/14/2012,74.97
1,9/21/2012,69.87
1,9/28/2012,76.08
1,10/5/2012,68.55
1,10/12/2012,62.99
1,10/19/2012,67.97
1,10/26/2012,69.16
1,11/2/2012,55.32
1,11/9/2012,61.24
1,11/16/2012,52.92
1,11/23/2012,56.23
1,11/30/2012,52.34
1,12/7/2012,64.12
1,12/14/2012,48.89
1,12/21/2012,56.02
1,12/28/2012,44.79
1,1/4/2013,41.73
1,1/11/2013,50.32
1,1/18/2013,42.92
1,1/25/2013,53.37
1,2/1/2013,56.46
1,2/8/2013,56.67
1,2/15/2013,49.66
1,2/22/2013,50.25
1,3/1/2013,48.01
1,3/8/2013,50.81
1,3/15/2013,55.33
1,3/22/2013,63.42
1,3/29/2013,51
1,4/5/2013,58.59
1,4/12/2013,62.72
1,4/19/2013,67.1
1,4/26/2013,59.23
1,5/3/2013,66.66
1,5/10/2013,63.9
1,5/17/2013,69.53
1,5/24/2013,77.19
1,5/31/2013,78.02
1,6/7/2013,76.44
1,6/14/2013,79.86
1,6/21/2013,81.35
1,6/28/2013,83.94
1,7/5/2013,79.85
1,7/12/2013,83.12
1,7/19/2013,79.26
1,7/26/2013,81.54
2,2/5/2010,40.19
2,2/12/2010,38.49
2,2/19/2010,39.69
2,2/26/2010,46.1
2,3/5/2010,47.17
2,3/12/2010,57.56
2,3/19/2010,54.52
2,3/26/2010,51.26
2,4/2/2010,63.27
2,4/9/2010,65.41
2,4/16/2010,68.07
2,4/23/2010,65.11
2,4/30/2010,66.98
2,5/7/2010,71.28
2,5/14/2010,73.31
2,5/21/2010,74.83
2,5/28/2010,81.13
2,6/4/2010,81.81
2,6/11/2010,83.4
2,6/18/2010,85.81
2,6/25/2010,86.26
2,7/2/2010,82.74
2,7/9/2010,82.59
2,7/16/2010,85.32
2,7/23/2010,87.66
2,7/30/2010,83.49
2,8/6/2010,89.53
